Code;Company;IPO
ESSA;Surya Esa Perkasa Tbk;01-Feb-12
TELE;PT Omni Inovasi Indonesia Tbk;12-Jan-12
PADI;Minna Padi Investama Sekuritas Tbk;09-Jan-12
GWSA;PT Greenwood Sejahtera Tbk;23 Des 2011
BAJA;Saranacentral Bajatama Tbk;21 Des 2011
ERAA;Erajaya Swasembada Tbk;14 Des 2011
ABMM;ABM Investama Tbk;06 Des 2011
CASS;Cardig Aero Services Tbk;05 Des 2011
VIVA;PT Visi Media Asia Tbk;21-Nov-11
GEMS;Golden Energy Mines Tbk;17-Nov-11
ARII;Atlas Resources Tbk;08-Nov-11
SUPR;Solusi Tunas Pratama Tbk;11 Okt 2011
SMRU;SMR Utama Tbk;10 Okt 2011
STAR;PT Buana Artha Anugerah Tbk.;13-Jul-11
ALDO;Alkindo Naratama Tbk;12-Jul-11
PTIS;Indo Straits Tbk;12-Jul-11
SDMU;Sidomulyo Selaras Tbk;12-Jul-11
TIFA;KDB Tifa Finance Tbk;08-Jul-11
MTLA;Metropolitan Land Tbk;20-Jun-11
SIMP;Salim Ivomas Pratama Tbk;09-Jun-11
JAWA;Jaya Agra Wattie Tbk;30 Mei 2011
BULL;PT Buana Lintas Lautan Tbk.;23 Mei 2011
HDFA;Radana Bhaskara Finance Tbk;10 Mei 2011
SRAJ;Sejahteraraya Anugrahjaya Tbk;11-Apr-11
MBSS;Mitrabahtera Segara Sejati Tbk;06-Apr-11
GIAA;Garuda Indonesia (Persero) Tbk;11-Feb-11
MBTO;Martina Berto Tbk;13-Jan-11
EMDE;Megapolitan Developments Tbk;12-Jan-11
MFMI;Multifiling Mitra Indonesia Tbk;29 Des 2010
BSIM;Bank Sinarmas Tbk;13 Des 2010
BRMS;Bumi Resources Minerals Tbk;09 Des 2010
MIDI;Midi Utama Indonesia Tbk;30-Nov-10
WINS;Wintermar Offshore Marine Tbk;29-Nov-10
APLN;PT Agung Podomoro Land Tbk.;11-Nov-10
KRAS;Krakatau Steel (Persero) Tbk;10-Nov-10
TBIG;PT Tower Bersama Infrastructure Tbk;26 Okt 2010
ICBP;Indofood CBP Sukses Makmur Tbk;07 Okt 2010
HRUM;Harum Energy Tbk;06 Okt 2010
BUVA;PT Bukit Uluwatu Villa Tbk;12-Jul-10
IPOL;Indopoly Swakarsa Industry Tbk;09-Jul-10
BJBR;Bank Pembangunan Daerah Jawa Barat dan Banten Tbk;08-Jul-10
GOLD;PT Visi Telekomunikasi Infrastruktur Tbk.;07-Jul-10
SKYB;PT Northcliff Citranusa Indonesia Tbk.;07-Jul-10
ROTI;PT Nippon Indosari Corpindo Tbk;28-Jun-10
TOWR;Sarana Menara Nusantara Tbk;08-Mar-10
BIPI;PT Astrindo Nusantara Infrastruktur Tbk.;11-Feb-10
PTPP;PP (Persero) Tbk;09-Feb-10
EMTK;Elang Mahkota Teknologi Tbk;12-Jan-10
GDST;Gunawan Dianjaya Steel Tbk;23 Des 2009
BBTN;PT Bank Tabungan Negara (Persero) Tbk;17 Des 2009
NIKL;Pelat Timah Nusantara Tbk;14 Des 2009
BCIP;Bumi Citra Permai Tbk;11 Des 2009
DSSA;Dian Swastatika Sentosa Tbk;10 Des 2009
BWPT;Eagle High Plantations Tbk;27 Okt 2009
MKPI;Metropolitan Kentjana Tbk;10-Jul-09
GTBO;Garda Tujuh Buana Tbk;09-Jul-09
BPFI;PT Woori Finance Indonesia Tbk;01-Jun-09
TRIO;Trikomsel Oke Tbk;14-Apr-09
AMRT;PT Sumber Alfaria Trijaya Tbk.;15-Jan-09
TRAM;Trada Alam Minera Tbk.;10-Sep-08
BYAN;Bayan Resources Tbk;12 Agt 2008
HOME;Hotel Mandarine Regency Tbk;17-Jul-08
ADRO;Adaro Energy Indonesia Tbk;16-Jul-08
KBRI;Kertas Basuki Rachmat Indonesia Tbk;11-Jul-08
PDES;Destinasi Tirta Nusantara Tbk;08-Jul-08
VRNA;PT Mizuho Leasing Indonesia Tbk;25-Jun-08
INDY;Indika Energy Tbk;11-Jun-08
BSDE;PT Bumi Serpong Damai Tbk;06-Jun-08
TPIA;PT Chandra Asri Petrochemical Tbk;26 Mei 2008
GZCO;Gozco Plantations Tbk;15 Mei 2008
KOIN;Kokoh Inti Arebama Tbk;09-Apr-08
BTPN;PT Bank BTPN Tbk;12-Mar-08
YPAS;Yanaprima Hastapersada Tbk;05-Mar-08
ELSA;Elnusa Tbk;06-Feb-08
TRIL;Triwira Insanlestari Tbk;28-Jan-08
BAPA;Bekasi Asri Pemula Tbk;14-Jan-08
COWL;COWELL DEVELOPMENT Tbk;19 Des 2007
DGIK;Nusa Konstruksi Enjiniring Tbk;19 Des 2007
ASRI;ALAM SUTERA REALTY Tbk;18 Des 2007
ITMG;Indo Tambangraya Megah Tbk;18 Des 2007
CSAP;Catur Sentosa Adiprana Tbk;12 Des 2007
JKON;Jaya Konstruksi Manggala Pratama Tbk;04 Des 2007
JSMR;PT Jasa Marga Tbk;12-Nov-07
PTSN;Sat Nusapersada Tbk;08-Nov-07
ACES;Ace Hardware Indonesia Tbk;06-Nov-07
WIKA;PT Wijaya Karya (Persero) Tbk;29 Okt 2007
GPRA;Perdana Gapura Prima Tbk;10 Okt 2007
BACA;PT Bank Capital Indonesia Tbk;04 Okt 2007
DEWA;Darma Henwa Tbk;26-Sep-07
LCGP;PT Eureka Prima Jakarta Tbk.;13-Jul-07
PKPK;Perdana Karya Perkasa Tbk;11-Jul-07
MCOR;PT Bank China Construction Bank Indonesia Tbk;03-Jul-07
MNCN;Media Nusantara Citra Tbk;22-Jun-07
SGRO;PT Sampoerna Agro Tbk;18-Jun-07
BKDP;Bukit Darmo Property Tbk;15-Jun-07
WEHA;PT WEHA Transportasi Indonesia Tbk;31 Mei 2007
BISI;BISI INTERNATIONAL Tbk;28 Mei 2007
SDRA;PT Bank Woori Saudara Indonesia 1906 Tbk;15 Des 2006
FREN;PT Smartfren Telecom Tbk;29-Nov-06
CPRO;Central Proteina Prima Tbk;28-Nov-06
IATA;PT MNC Energy Investments Tbk;13-Sep-06
TOTL;Total Bangun Persada Tbk;25-Jul-06
RUIS;Radiant Utama Interinsco Tbk;12-Jul-06
BBKP;PT Bank KB Bukopin Tbk;10-Jul-06
BNBA;Bank Bumi Arta Tbk;01-Jun-06
RAJA;Rukun Raharja Tbk;19-Apr-06
OKAS;Ancora Indonesia Resources Tbk;29-Mar-06
MAIN;Malindo Feedmill Tbk;10-Feb-06
BTEL;Bakrie Telecom Tbk;03-Feb-06
AMAG;Asuransi Multi Artha Guna Tbk;23 Des 2005
MICE;Multi Indocitra Tbk;21 Des 2005
EXCL;PT XL Axiata Tbk;29-Sep-05
MFIN;PT Mandala Multifinance Tbk.;06-Sep-05
RELI;Reliance Sekuritas Indonesia Tbk;13-Jul-05
ICON;Island Concepts Indonesia Tbk;08-Jul-05
PEGE;PT Panca Global Kapital Tbk.;24-Jun-05
MASA;Multistrada Arah Sarana Tbk;09-Jun-05
WOMF;PT Wahana Ottomitra Multiartha Tbk;13 Des 2004
MAPI;Mitra Adiperkasa Tbk;10-Nov-04
AKKU;PT Anugerah Kagum Karya Utama Tbk;01-Nov-04
YULE;Yulie Sekuritas Indonesia Tbk;12 Okt 2004
SQMI;Wilton Makmur Indonesia Tbk;15-Jul-04
PJAA;Pembangunan Jaya Ancol Tbk;02-Jul-04
ENRG;Energi Mega Persada Tbk;07-Jun-04
BTEK;Bumi Teknokultura Unggul Tbk;14 Mei 2004
HADE;PT Himalaya Energi Perkasa Tbk;12-Apr-04
ADMF;Adira Dinamika Multi Finance Tbk;31-Mar-04
ADHI;PT Adhi Karya (Persero) Tbk.;18-Mar-04
INPP;Indonesian Paradise Property Tbk;12-Jan-04
ASJT;Asuransi Jasa Tania Tbk;23 Des 2003
PGAS;PT Perusahaan Gas Negara Tbk.;15 Des 2003
BBRI;PT Bank Rakyat Indonesia (Persero) Tbk;10-Nov-03
OCAP;ONIX CAPITAL Tbk;10 Okt 2003
AGRO;PT Bank Raya Indonesia Tbk;08 Agt 2003
BMRI;PT Bank Mandiri (Persero) Tbk;14-Jul-03
TMAS;PT Temas Tbk.;09-Jul-03
ARTI;Ratu Prabu Energi Tbk;30-Apr-03
PSAB;J RESOURCES ASIA PASIFIK Tbk;22-Apr-03
PTBA;Bukit Asam Tbk;23 Des 2002
APIC;PACIFIC STRATEGIC FINANCIAL Tbk;18 Des 2002
TRUS;Trust Finance Indonesia Tbk;28-Nov-02
BKSW;PT Bank QNB Indonesia Tbk;21-Nov-02
ARTA;Arthavest Tbk;05-Nov-02
IIKP;Inti Agri Resources Tbk;14 Okt 2002
GEMA;Gema Grahasarana Tbk;12 Agt 2002
SCMA;Surya Citra Media Tbk;16-Jul-02
BABP;PT Bank MNC Internasional Tbk.;15-Jul-02
KREN;PT Kresna Graha Investama Tbk.;28-Jun-02
SUGI;Sugih Energy Tbk;19-Jun-02
BSWD;Bank of India Indonesia Tbk;01 Mei 2002
UNIT;Nusantara Inti Corpora Tbk;18-Apr-02
JTPE;Jasuindo Tiga Perkasa Tbk;16-Apr-02
ABBA;Mahaka Media Tbk;03-Apr-02
FPNI;PT Lotte Chemical Titan Tbk.;21-Mar-02
CITA;Cita Mineral Investindo Tbk;20-Mar-02
FISH;FKS Multi Agro Tbk;18-Jan-02
FORU;Fortune Indonesia Tbk;17-Jan-02
LMAS;Limas Indonesia Makmur Tbk;28 Des 2001
CLPI;Colorpak Indonesia Tbk;30-Nov-01
CNKO;Exploitasi Energi Indonesia Tbk;20-Nov-01
CENT;PT Centratama Telekomunikasi Indonesia Tbk.;01-Nov-01
RODA;Pikko Land Development Tbk;22 Okt 2001
PYFA;Pyridam Farma Tbk;16 Okt 2001
PANR;Panorama Sentrawisata Tbk;18-Sep-01
AIMS;Akbar Indomakmur Stimec Tbk;20-Jul-01
BTON;Betonjaya Manunggal Tbk;18-Jul-01
META;Nusantara Infrastructure Tbk;18-Jul-01
ARNA;Arwana Citramulia Tbk;17-Jul-01
LAPD;Leyand International Tbk;17-Jul-01
AKSI;PT Mineral Sumberdaya Mandiri Tbk;13-Jul-01
BEKS;PT Bank Pembangunan Daerah Banten Tbk.;13-Jul-01
DEFI;Danasupra Erapacific Tbk;06-Jul-01
KAEF;Kimia Farma Tbk.;04-Jul-01
WAPO;Wahana Pronatural Tbk;22-Jun-01
DOID;Delta Dunia Makmur Tbk;15-Jun-01
BCAP;MNC Kapital Indonesia Tbk;08-Jun-01
INDX;Tanah Laut Tbk;17 Mei 2001
INAF;Indofarma Tbk.;17-Apr-01
PLAS;Polaris Investama Tbk;16-Mar-01
TMPO;Tempo Inti Media Tbk;08-Jan-01
DNET;PT Indoritel Makmur Internasional Tbk.;11 Des 2000
GMTD;Gowa Makassar Tourism Development Tbk;11 Des 2000
RIMO;PT Rimo International Lestari Tbk.;10-Nov-00
MYOH;Samindo Resources Tbk;27-Jul-00
FMII;Fortune Mate Indonesia Tbk;30-Jun-00
BBCA;PT Bank Central Asia Tbk.;31 Mei 2000
PANS;Panin Sekuritas Tbk;31 Mei 2000
APLI;Asiaplast Industries Tbk;01 Mei 2000
MEGA;Bank Mega Tbk;17-Apr-00
PGLI;Pembangunan Graha Lestari Tbk;05-Apr-00
KPIG;MNC Land Tbk;30-Mar-00
DSFI;Dharma Samudera Fishing Ind. Tbk;24-Mar-00
KBLV;First Media Tbk;25-Feb-00
TBLA;Tunas Baru Lampung Tbk;14-Feb-00
TRIM;PT Trimegah Sekuritas Indonesia Tbk;31-Jan-00
BMSR;Bintang Mitra Semestaraya Tbk;29 Des 1999
TIRT;Tirta Mahakam Resources Tbk;13 Des 1999
SMDR;Samudera Indonesia Tbk;05-Jul-99
BVIC;Bank Victoria International Tbk;30-Jun-99
AUTO;Astra Otoparts Tbk;15-Jun-98
RICY;Ricky Putra Globalindo Tbk;22-Jan-98
JSPT;Jakarta Setiabudi Internasional Tbk;12-Jan-98
RBMS;Ristia Bintang Mahkotasejati Tbk;19 Des 1997
HITS;Humpuss Intermoda Transportasi Tbk;15 Des 1997
AALI;Astra Agro Lestari Tbk;09 Des 1997
SMMT;GOLDEN EAGLE ENERGY Tbk;01 Des 1997
ANTM;Aneka Tambang Tbk.;27-Nov-97
BHIT;PT MNC Asia Holding Tbk;24-Nov-97
DKFT;Central Omega Resources Tbk;21-Nov-97
MAYA;PT Bank Mayapada Internasional Tbk;29 Agt 1997
SSTM;Sunson Textile Manufacturer Tbk;20 Agt 1997
JKSW;Jakarta Kyoei Steel Works Tbk;06 Agt 1997
BKSL;Sentul City Tbk;28-Jul-97
LPCK;Lippo Cikarang Tbk;24-Jul-97
LPGI;Lippo General Insurance Tbk;22-Jul-97
LTLS;PT Lautan Luas Tbk;21-Jul-97
MITI;Mitra Investindo Tbk;16-Jul-97
BCIC;PT Bank JTrust Indonesia Tbk.;25-Jun-97
AISA;PT FKS Food Sejahtera Tbk;11-Jun-97
IKAI;Intikeramik Alamasri Industri Tbk;04-Jun-97
ETWA;Eterindo Wahanatama Tbk;16 Mei 1997
SSIA;PT Surya Semesta Internusa Tbk;27-Mar-97
MIRA;Mitra International Resources Tbk;30-Jan-97
ALMI;Alumindo Light Metal Industry Tbk;02-Jan-97
SIPD;PT Sreeya Sewu Indonesia Tbk;27 Des 1996
STTP;PT Siantar Top Tbk;16 Des 1996
BBNI;PT Bank Negara Indonesia (Persero) Tbk;25-Nov-96
PICO;Pelangi Indah Canindo Tbk;23-Sep-96
SMSM;Selamat Sempurna Tbk;09-Sep-96
KDSI;Kedawung Setia Industrial Tbk;29-Jul-96
RALS;Ramayana Lestari Sentosa Tbk;24-Jul-96
CEKA;PT Wilmar Cahaya Indonesia Tbk.;09-Jul-96
LSIP;PP London Sumatra Indonesia Tbk;05-Jul-96
CTTH;Citatah Tbk;03-Jul-96
LPKR;Lippo Karawaci Tbk;28-Jun-96
TLKM;PT Telkom Indonesia (Persero) Tbk;14-Nov-95
AMFG;Asahimas Flat Glass Tbk;08-Nov-95
ELTY;Bakrieland Development Tbk;30 Okt 1995
BIPP;Bhuwanatala Indah Permai Tbk;23 Okt 1995
TINS;PT Timah Tbk.;19 Okt 1995
SMDM;Suryamas Dutamakmur Tbk;12 Okt 1995
PSKT;PT Red Planet Indonesia Tbk;19-Sep-95
KONI;Perdana Bangun Pusaka Tbk;22 Agt 1995
MRAT;Mustika Ratu Tbk;27-Jul-95
BMTR;PT Global Mediacom Tbk;17-Jul-95
SMMA;PT Sinar Mas Multiartha Tbk;05-Jul-95
TURI;Tunas Ridean Tbk;16 Mei 1995
BUDI;PT Budi Starch & Sweetener Tbk.;08 Mei 1995
HEXA;Hexindo Adiperkasa Tbk;13-Feb-95
CMNP;Citra Marga Nusaphala Persada Tbk;10-Jan-95
KIJA;Kawasan Industri Jababeka Tbk;10-Jan-95
KARW;ICTSI JASA PRIMA Tbk;20 Des 1994
FASW;Fajar Surya Wisesa Tbk;19 Des 1994
CMPP;PT AirAsia Indonesia Tbk;08 Des 1994
KIAS;Keramika Indonesia Assosiasi Tbk;08 Des 1994
INAI;Indal Aluminium Industry Tbk;05 Des 1994
PUDP;Pudjiadi Prestige Tbk;18-Nov-94
SPMA;Suparma Tbk;16-Nov-94
DVLA;Darya-Varia Laboratoria Tbk;11-Nov-94
DUTI;Duta Pertiwi Tbk;02-Nov-94
NISP;PT Bank OCBC NISP Tbk;20 Okt 1994
ISAT;PT Indosat Tbk;19 Okt 1994
PSDN;Prasidha Aneka Niaga Tbk;18 Okt 1994
LMPI;Langgeng Makmur Industri Tbk;17 Okt 1994
MEDC;PT Medco Energi Internasional Tbk;12 Okt 1994
AKRA;PT AKR Corporindo Tbk.;03 Okt 1994
BIMA;Primarindo Asia Infrastructure Tbk;30 Agt 1994
OMRE;Indonesia Prima Property Tbk;22 Agt 1994
SAFE;Steady Safe Tbk;15 Agt 1994
WICO;Wicaksana Overseas International Tbk;08 Agt 1994
EPMT;Enseval Putera Megatrading Tbk;01 Agt 1994
INDF;Indofood Sukses Makmur Tbk;14-Jul-94
JRPT;Jaya Real Property Tbk;29-Jun-94
TSPC;Tempo Scan Pacific Tbk;17-Jun-94
ADES;Akasha Wira International Tbk Tbk;13-Jun-94
SIMA;Siwani Makmur Tbk;03-Jun-94
MDLN;PT Modernland Realty Tbk.;01-Jun-94
PTSP;Pioneerindo Gourmet International Tbk;30 Mei 1994
CTRA;Ciputra Development Tbk;28-Mar-94
LPPS;PT Lenox Pasifik Investama Tbk;28-Mar-94
SULI;PT SLJ Global Tbk;21-Mar-94
MAMI;Mas Murni Indonesia Tbk;09-Feb-94
MLIA;Mulia Industrindo Tbk;17-Jan-94
IMAS;Indomobil Sukses Internasional Tbk;15-Nov-93
KICI;Kedaung Indah Can Tbk;28 Okt 1993
ADMG;Polychem Indonesia Tbk;20 Okt 1993
BRPT;Barito Pacific Tbk;01 Okt 1993
TCID;Mandom Indonesia Tbk;30-Sep-93
SKLT;Sekar Laut Tbk;08-Sep-93
INTA;Intraco Penta Tbk;23 Agt 1993
LION;Lion Metal Works Tbk;20 Agt 1993
TIRA;Tira Austenite Tbk;27-Jul-93
FAST;PT Fast Food Indonesia Tbk;11 Mei 1993
SRSN;Indo Acidatama Tbk;11-Jan-93
MPPA;Matahari Putra Prima Tbk;21 Des 1992
AKPI;Argha Karya Prima Ind. Tbk;18 Des 1992
SMAR;PT Sinar Mas Agro Resources and Technology Tbk;20-Nov-92
JECC;Jembo Cable Company Tbk;18-Nov-92
ESTI;Ever Shine Textile Industry Tbk;13 Okt 1992
SONA;Sona Topas Tourism Industry Tbk;21-Jul-92
KBLI;KMI Wire and Cable Tbk;06-Jul-92
PLIN;Plaza Indonesia Realty Tbk;15-Jun-92
KBLM;Kabelindo Murni Tbk;01-Jun-92
MTSM;Metro Realty Tbk;08-Jan-92
DILD;Intiland Development Tbk;04-Sep-91
ZBRA;PT Dosni Roha Indonesia Tbk;01 Agt 1991
KLBF;Kalbe Farma Tbk;30-Jul-91
NIPS;Nipress Tbk;24-Jul-91
MDRN;Modern Internasional Tbk;16-Jul-91
SMGR;Semen Indonesia (Persero) Tbk;08-Jul-91
KKGI;Resource Alam Indonesia Tbk;01-Jul-91
POOL;Pool Advista Indonesia Tbk;20 Mei 1991
CPIN;Charoen Pokphand Indonesia Tbk;18-Mar-91
POLY;Asia Pacific Fibers Tbk;12-Mar-91
IKBI;Sumi Indo Kabel Tbk;21-Jan-91
ARGO;Argo Pantes Tbk;07-Jan-91
VOKS;Voksel Electric Tbk;20 Des 1990
ITMA;SUMBER ENERGI ANDALAN Tbk;10 Des 1990
IGAR;Champion Pacific Indonesia Tbk;05-Nov-90
MYRX;Hanson International Tbk;31 Okt 1990
TOTO;Surya Toto Indonesia Tbk;30 Okt 1990
AHAP;Asuransi Harta Aman Pratama Tbk;14-Sep-90
BRAM;Indo Kordsa Tbk;05-Sep-90
CFIN;Clipan Finance Indonesia Tbk;27 Agt 1990
GGRM;Gudang Garam Tbk;27 Agt 1990
INPC;Bank Artha Graha Internasional Tbk;23 Agt 1990
ERTX;Eratex Djaja Tbk;21 Agt 1990
PBRX;Pan Brothers Tbk;16 Agt 1990
HMSP;HM Sampoerna Tbk;15 Agt 1990
EKAD;Ekadharma International Tbk;14 Agt 1990
INDS;Indospring Tbk;10 Agt 1990
DPNS;Duta Pertiwi Nusantara Tbk;08 Agt 1990
INDR;PT Indo-Rama Synthetics Tbk;03 Agt 1990
BUMI;Bumi Resources Tbk;30-Jul-90
INCI;Intanwijaya Internasional Tbk;24-Jul-90
INKP;Indah Kiat Pulp & Paper Tbk;16-Jul-90
ALKA;Alakasa Industrindo Tbk;12-Jul-90
PRAS;Prima Alloy Steel Universal Tbk;12-Jul-90
MYOR;Mayora Indah Tbk;04-Jul-90
TRST;Trias Sentosa Tbk;02-Jul-90
ULTJ;Ultra Jaya Milk Industry Tbk;02-Jul-90
INRU;Toba Pulp Lestari Tbk;18-Jun-90
TGKA;Tigaraksa Satria Tbk;11-Jun-90
SCPI;PT Organon Pharma Indonesia Tbk;08-Jun-90
HDTX;Panasia Indo Resources Tbk;06-Jun-90
LMSH;Lionmesh Prima Tbk;04-Jun-90
TBMS;Tembaga Mulia Semanan Tbk;23 Mei 1990
PTRO;Petrosea Tbk;21 Mei 1990
BFIN;BFI Finance Indonesia Tbk;16 Mei 1990
INCO;Vale Indonesia Tbk;16 Mei 1990
RDTX;Roda Vivatex Tbk;14 Mei 1990
DART;Duta Anggada Realty Tbk;08 Mei 1990
GJTL;Gajah Tunggal Tbk;08 Mei 1990
SHID;Hotel Sahid Jaya Tbk;08 Mei 1990
BBLD;Buana Finance Tbk;07 Mei 1990
SDPC;Millennium Pharmacon International Tbk;07 Mei 1990
SMRA;PT Summarecon Agung Tbk;07 Mei 1990
PNSE;Pudjiadi & Sons Tbk;01 Mei 1990
MTFN;Capitalinc Investment Tbk;16-Apr-90
MTDL;Metrodata Electronics Tbk;09-Apr-90
ASII;Astra International Tbk;04-Apr-90
TKIM;Pabrik Kertas Tjiwi Kimia Tbk;03-Apr-90
BLTA;Berlian Laju Tanker Tbk;26-Mar-90
ASRM;Asuransi Ramayana Tbk;19-Mar-90
UNSP;Bakrie Sumatera Plantations Tbk;06-Mar-90
RIGS;Rig Tenders Tbk;05-Mar-90
RMBA;Bentoel International Investama Tbk;05-Mar-90
LPIN;Multi Prima Sejahtera Tbk;05-Feb-90
BNLI;Bank Permata Tbk;15-Jan-90
INTD;Inter-Delta Tbk;18 Des 1989
ASDM;Asuransi Dayin Mitra Tbk;15 Des 1989
BDMN;PT Bank Danamon Indonesia Tbk;06 Des 1989
INTP;Indocement Tunggal Prakarsa Tbk;05 Des 1989
ASBI;Asuransi Bintang Tbk;29-Nov-89
BNGA;PT Bank CIMB Niaga Tbk;29-Nov-89
CTBN;Citra Tubindo Tbk;28-Nov-89
BNII;PT Bank Maybank Indonesia Tbk;21-Nov-89
ASGR;Astra Graphia Tbk;15-Nov-89
BRNA;Berlina Tbk;06-Nov-89
MLPL;Multipolar Tbk;06-Nov-89
UNIC;Unggul Indah Cahaya Tbk;06-Nov-89
BAYU;Bayu Buana Tbk;30 Okt 1989
GSMF;Equity Development Investment Tbk;23 Okt 1989
JPFA;JAPFA Comfeed Indonesia Tbk;23 Okt 1989
LPLI;Star Pacific Tbk;23 Okt 1989
MYTX;PT Asia Pacific Investama Tbk.;10 Okt 1989
LPPF;Matahari Department Store Tbk;09 Okt 1989
PWON;Pakuwon Jati Tbk;09 Okt 1989
UNTR;United Tractors Tbk;19-Sep-89
MREI;Maskapai Reasuransi Indonesia Tbk;04-Sep-89
BNBR;Bakrie & Brothers Tbk;28 Agt 1989
HERO;Hero Supermarket Tbk;21 Agt 1989
ABDA;Asuransi Bina Dana Arta Tbk;06-Jul-89
JIHD;Jakarta International Hotels & Development Tbk;29-Feb-84
DLTA;Delta Djakarta Tbk;27-Feb-84
PNIN;Paninvest Tbk;20-Sep-83
PNLF;Panin Financial Tbk;14-Jun-83
PNBN;Bank Pan Indonesia Tbk;29 Des 1982
SCCO;PT Supreme Cable Manufacturing & Commerce Tbk;20-Jul-82
BATA;Sepatu Bata Tbk;24-Mar-82
UNVR;Unilever Indonesia Tbk;11-Jan-82
MLBI;Multi Bintang Indonesia Tbk;15 Des 1981
MERK;Merck Tbk;23-Jul-81
GDYR;Goodyear Indonesia Tbk;22 Des 1980
TFCO;Tifico Fiber Indonesia Tbk;26-Feb-80
CNTX;PT Century Textile Industry Tbk;22 Mei 1979
SMCB;PT Solusi Bangun Indonesia Tbk;10 Agt 1977
